Metric,Value
Totale pubblicazioni,38
Totale citazioni Scopus,347
Totale citazioni Scholar,479
Percentuale Q1,31.6%
Percentuale A,0.0%
Percentuale A*,0.0%
Numero Journal,13
Numero Conference,11
Numero Other Works,14
Anni di non pubblicazione,"2011, 2012"
