Metric,Value
Totale pubblicazioni,52
Totale citazioni Scopus,335
Totale citazioni Scholar,465
Percentuale Q1,23.1%
Percentuale A,1.9%
Percentuale A*,0.0%
Numero Journal,13
Numero Conference,27
Numero Other Works,12
Anni di non pubblicazione,Nessuno
