Metric,Value
Totale pubblicazioni,640
Totale citazioni Scopus,2316
Totale citazioni Scholar,7075
Percentuale Q1,4.2%
Percentuale A,5.8%
Percentuale A*,4.8%
Numero Journal,34
Numero Conference,201
Numero Other Works,405
Anni di non pubblicazione,Nessuno
