year,title,citations_scopus,citations_scholar
2012,Uniform Obfuscation For Location Privacy,13,20
2015,Humsim: A Privacy-Oriented Human Mobility Simulator,3,9
2017,An Implementation And Evaluation Of The Security Features Of Rpl,49,59
