Metric,Value
Totale pubblicazioni,45
Totale citazioni Scopus,887
Totale citazioni Scholar,1237
Percentuale Q1,37.8%
Percentuale A,4.4%
Percentuale A*,0.0%
Numero Journal,21
Numero Conference,21
Numero Other Works,3
Anni di non pubblicazione,2023
