Metric,Value
Totale pubblicazioni,232
Totale citazioni Scopus,2181
Totale citazioni Scholar,3939
Percentuale Q1,9.1%
Percentuale A,8.6%
Percentuale A*,15.1%
Numero Journal,26
Numero Conference,100
Numero Other Works,106
Anni di non pubblicazione,Nessuno
