Metric,Value
Totale pubblicazioni,25
Totale citazioni Scopus,347
Totale citazioni Scholar,460
Percentuale Q1,48.0%
Percentuale A,0.0%
Percentuale A*,0.0%
Numero Journal,13
Numero Conference,11
Numero Other Works,1
Anni di non pubblicazione,2017
