title,year,citations_scholar,venue,link,source
SEUPD@ CLEF: Team hextech on Argument Retrieval for Comparative Questions. The importance of adjectives in documents quality evaluation.,2022,3.0,"CLEF (Working Notes), 3041-3054, 2022",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:3vbIHxFL9FgC,Scholar
SEUPD@ CLEF: Team 6musk on Argument Retrieval for Controversial Questions by Using Pairs Selection and Query Expansion.,2022,2.0,"CLEF (Working Notes), 3018-3031, 2022",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:wuD5JclIwkYC,Scholar
SEUPD@ CLEF: Team Lgtm on Argument Retrieval for Controversial Questions.,2022,1.0,"CLEF (Working Notes), 2933-2955, 2022",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:qPeb-qHga9sC,Scholar
Aldo Nadi at Touché 2022: Argument retrieval for comparative questions,2022,2.0,"CEUR WORKSHOP PROCEEDINGS 3180, 2904-2918, 2022",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:G36d5HCDkJYC,Scholar
SEUPD@ CLEF: Team Gamora on argument retrieval for controversial questions,2022,1.0,"CEUR WORKSHOP PROCEEDINGS 3180, 2956-2968, 2022",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:17ZO-CJnx_8C,Scholar
SEUPD@ CLEF: Team INTSEG on Argument Retrieval for Controversial Questions.,2022,3.0,"CLEF (Working Notes), 2919-2932, 2022",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:Tfl4UtY-dJUC,Scholar
Comparing ANOVA Approaches to Detect Significantly Different IR Systems.,2022,,"IIR, 2022",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:Nw_I7GeUguwC,Scholar
Feature Selection via Quantum Annealers for Ranking and Classification Tasks,2022,,"CEUR WORKSHOP PROCEEDINGS 3177, 1-2, 2022",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:inmFHauC9wsC,Scholar
Improving Conversational Evaluation via a Dependency-Aware Permutation Strategy.,2022,,"SEBD, 375-382, 2022",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:uAPFzskPt0AC,Scholar
Extracting a Unified Database from Heterogeneous Bills of Materials via Data Integration Approaches.,2022,,"SEBD, 13-24, 2022",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:MDX3w3dAD3YC,Scholar
Evaluating the Integration of Datasets,2022,3.0,"Proc. 37th ACM/SIGAPP Symposium On Applied Computing (SAC 2022), 2022",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:BJtnxTr0fRcC,Scholar
How do you Test a Test? A Multifaceted Examination of Significance Tests,2022,25.0,"Proc. 15th ACM International Conference on Web Searching and Data Mining …, 2022",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:GYcXSSpN504C,Scholar
Topic difficulty: Collection and query formulation effects,2022,43.0,"ACM Transactions on Information Systems (TOIS) 40 (1), 1-36, 2022",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:Kqc1aDSOPooC,Scholar
Towards meaningful statements in IR evaluation: Mapping evaluation measures to interval scales,2021,43.0,"IEEE Access 9, 136182-136216, 2021",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:vnF2_uLGgtgC,Scholar
Do Hard Topics Exist? A Statistical Analysis.,2021,2.0,"IIR, 2021",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:idthP5jqfYAC,Scholar
Hierarchical dependence-aware evaluation measures for conversational search,2021,18.0,"Proceedings of the 44th International ACM SIGIR Conference on Research and …, 2021",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:v_tt_AnqfNMC,Scholar
A machine learning-based approach for advanced monitoring of automated equipment for the entertainment industry,2021,11.0,"2021 IEEE International Workshop on Metrology for Industry 4.0 & IoT …, 2021",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:vVJNg6_NJEsC,Scholar
System effect estimation by sharding: A comparison between ANOVA approaches to detect significant differences,2021,21.0,"European Conference on Information Retrieval, 33-46, 2021",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:xyvS_IvSCKsC,Scholar
repro_eval: A Python Interface to Reproducibility Measures of System-Oriented IR Experiments,2021,24.0,"European Conference on Information Retrieval, 481-486, 2021",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:KI9T_ytC6pkC,Scholar
An enhanced evaluation framework for query performance prediction,2021,57.0,"European Conference on Information Retrieval, 115-129, 2021",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:as0KMg8qHbkC,Scholar
A Data Management and Anomaly Detection Solution for the Entertainment Industry (Discussion Paper),2021,,"SEBD, 2021",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:I2jIoRS3jIgC,Scholar
The Covid-19 MLIA@ Eval initiative: Overview of the multilingual semantic search task,2021,4.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:o9ULDYDKYbIC,Scholar
Proc. 11th Italian Information Retrieval Workshop (IIR 2021),2021,,"CEUR WORKSHOP PROCEEDINGS 2947, 2021",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:kO05sadLmrgC,Scholar
"Experimental IR Meets Multilinguality, Multimodality, and Interaction. Proceedings of the Twelfth International Conference of the CLEF Association (CLEF 2021)",2021,,"LECTURE NOTES IN ARTIFICIAL INTELLIGENCE 12880, 2021",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:NtGNdKbuCngC,Scholar
"Experimental IR Meets Multilinguality, Multimodality, and Interaction",2021,3.0,"Springer International Publishing, 2021",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:WzTVkKNmPSkC,Scholar
sMARE: An enhanced query performance prediction evaluation approach,2021,1.0,"Proc. of the Italian Symposium on Advanced Database Systems (SEBD), 235-242, 2021",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:NtCmTCuxid4C,Scholar
A Data Management and Anomaly Detection Solution for the Entertainment Industry,2021,,"CEUR Workshop Proceedings, 2021",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:q0uBw5dMOAkC,Scholar
Nobis: A crowd monitoring service against COVID-19,2021,3.0,"CEUR Workshop Proceedings 2816, 126-137, 2021",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:3lUAU8Oskd0C,Scholar
s-AWARE: Using Crowd Judgements in Supervised Measure-Based Methods for IR Evaluation.,2021,1.0,"IRCDL, 162-168, 2021",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:0sTkTiv_uMkC,Scholar
s-AWARE: supervised measure-based methods for crowd-assessors combination,2020,5.0,"International Conference of the Cross-Language Evaluation Forum for European …, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:Vno172sVVMwC,Scholar
Exploiting stopping time to evaluate accumulated relevance,2020,4.0,"Proceedings of the 2020 ACM SIGIR on International Conference on Theory of …, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:kUhpeDhEZMUC,Scholar
How to measure the reproducibility of system-oriented IR experiments,2020,44.0,"Proceedings of the 43rd International ACM SIGIR Conference on Research and …, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:VRfTbSk87rEC,Scholar
Reproducibility of the Neural Vector Space Model via Docker,2020,1.0,"Italian Research Conference on Digital Libraries, 3-8, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:YPNY0knpFBYC,Scholar
"Experimental IR Meets Multilinguality, Multimodality, and Interaction. Proceedings of the Eleventh International Conference of the CLEF Association (CLEF 2020)",2020,6.0,"LECTURE NOTES IN COMPUTER SCIENCE 12260, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:TeJ9juy8vcMC,Scholar
Using Triplet Loss for Bird Species Recognition on BirdCLEF 2020.,2020,9.0,"CLEF (working notes), 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:BPS1z4jHU5cC,Scholar
CLEF 2020 Working Notes,2020,20.0,"CEUR Workshop Proceedings, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:AFXcoJnoRH0C,Scholar
Unipd at covid-19 mlia,2020,2.0,"MLIA COVID-19, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:TGkaJS32XoUC,Scholar
What’s happening in CLEF and what’s the Covid-19@ MLIA Initiative,2020,,"Proc. 5th NTCIR Conference on Evaluation of Information Access Technologies, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:BAanoTsO0WEC,Scholar
Overview of the NTCIR-15 we want web with CENTRE (WWW-3) task,2020,39.0,"Proceedings of NTCIR-15. to appear, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:eH23hyXCXa4C,Scholar
Report on CLEF 2020,2020,,"ACM SIGIR Forum 54 (2), 1-10, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:Y9VhQm-5nPIC,Scholar
Unsupervised Evaluation of Data Integration Processes,2020,6.0,"Proc. 22nd International Conference on Information Integration and Web-based …, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:g8uWPOAv7ggC,Scholar
"Experimental ir meets multilinguality, multimodality, and interaction",2020,17.0,"Proceedings of the Eleventh International Conference of the CLEF Association …, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:I858iXPj1OkC,Scholar
Improving Learning to Rank By Leveraging User Dynamics and Continuation Methods,2020,,"Proc. 28th Italian Symposium on Advanced Database Systems (SEBD 2020),, 210-217, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:R22Rs3tN8aoC,Scholar
Advances in Information Retrieval. Proc. 42nd European Conference on IR Research (ECIR 2020) - Part I,2020,,"Lecture Notes in Computer Science (LNCS), Springer Nature, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:PlWzFYVEG4EC,Scholar
Advances in Information Retrieval. Proc. 42nd European Conference on IR Research (ECIR 2020) - Part II,2020,6.0,"Lecture Notes in Computer Science (LNCS), Springer Nature, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:natZJ_-F0IUC,Scholar
Boosting learning to rank with user dynamics and continuation methods,2020,4.0,"Information Retrieval Journal 23 (6), 528-554, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:x21FZCSn4ZoC,Scholar
How do interval scales help us with better understanding IR evaluation measures?,2020,23.0,"Information Retrieval Journal 23 (3), 289-317, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:9DLIHnF0jcYC,Scholar
A Docker-Based Replicability Study of a Neural Information Retrieval Model.,2019,8.0,"OSIRRC@ SIGIR 2409, 37-43, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:_tF6a-HnqWAC,Scholar
The SIGIR 2019 open-source IR replicability challenge (OSIRRC 2019),2019,39.0,"Proceedings of the 42nd international ACM SIGIR conference on research and …, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:R-LXmdHK_14C,Scholar
A Markovian Approach to Evaluate Session-Based IR Systems,2019,6.0,"Proc. 41st European Conference on IR Research (ECIR 2019), 621-635, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:wUn16MOA3RoC,Scholar
CENTRE@ CLEF 2019,2019,,"(No Title), 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:3_f9JqYsqVQC,Scholar
Proc. of the Open-Source IR Replicability Challenge (OSIRRC 2019),2019,,"CEUR WORKSHOP PROCEEDINGS 2409, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:cdwqcPQS8ssC,Scholar
"Experimental IR Meets Multilinguality, Multimodality, and Interaction. Proceedings of the Tenth International Conference of the CLEF Association (CLEF 2019)",2019,,"LECTURE NOTES IN ARTIFICIAL INTELLIGENCE 11696, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:HqhvjgTjE9cC,Scholar
Report on ESSIR 2019: the 12th European Summer School in Information Retrieval,2019,,"SIGIR Forum 53 (2), 54-61, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:xGWFX6Gbr9MC,Scholar
Report on CLEF 2019,2019,,"SIGIR Forum 53 (2), 108-118, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:W2uZP3ddy8sC,Scholar
Scales of Evaluation Measures: From Theory to Experimentation.,2019,1.0,"IIR, 10-11, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:QoJ_w57xiyAC,Scholar
"Experimental IR Meets Multilinguality, Multimodality, and Interaction",2019,19.0,"Proceedings of the Tenth International Conference of the CLEF Association …, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:Azgs6IHzeyYC,Scholar
Information Retrieval Evaluation in a Changing World - Lessons Learned from 20 Years of CLEF,2019,56.0,"volume 41 of The Information Retrieval Series. Springer International …, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:oTdOBqtIf_kC,Scholar
CENTRE@ CLEF2019: Overview of the Replicability and Reproducibility Tasks.,2019,5.0,"CLEF (Working Notes), 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:ndLnGcHYRF0C,Scholar
What Happened in CLEF... For a While?,2019,23.0,"Proceedings of the 10th International Conference of the CLEF Association …, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:hNSvKAmkeYkC,Scholar
Overview of CENTRE@ CLEF 2019: Sequel in the Systematic Reproducibility Realm,2019,15.0,"Proceedings of the 10th International Conference of the CLEF Association …, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:n3vGvpFsckwC,Scholar
Overview of the NTCIR-14 CENTRE Task,2019,22.0,"Proceedings of the 14th NTCIR Conference on Evaluation of Information Access …, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:nPTYJWkExTIC,Scholar
EVIA 2019,2019,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:1r-w4gtu6w8C,Scholar
A Formal Theory to Determine Scale Properties of Evaluation Measures.,2019,,"SEBD, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:4Yq6kJLCcecC,Scholar
Improving the Accuracy of System Performance Estimation by Using Shards,2019,25.0,"Proc. 42nd Annual International ACM SIGIR Conference on Research and …, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:qmtmRrLr0tkC,Scholar
An Innovative Approach to Data Management and Curation of Experimental Data Generated through IR Test Collections,2019,6.0,"Information Retrieval Evaluation in a Changing World - Lessons Learned from …, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:sfnaS5RM6jYC,Scholar
From Multilingual to Multimodal: The Evolution of CLEF over Two Decades,2019,11.0,"Information Retrieval Evaluation in a Changing World - Lessons Learned from …, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:iyewoVqAXLQC,Scholar
Visual Analytics and IR Experimental Evaluation,2019,3.0,"Information Retrieval Evaluation in a Changing World - Lessons Learned from …, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:ji7lAbPyDbYC,Scholar
Using Collection Shards to Study Retrieval Performance Effect Sizes,2019,37.0,"ACM Transactions on Information Systems (TOIS) 37 (3), 30:1-30:40, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:naSTrk-c4S8C,Scholar
Stochastic Relevance for Crowdsourcing,2019,4.0,"Proc. 41st European Conference on IR Research (ECIR 2019), 755-762, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:OzeSX8-yOCQC,Scholar
CENTRE@CLEF 2019,2019,10.0,"Proc. 41st European Conference on IR Research (ECIR 2019), 283-290, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:QVtou7C4vgoC,Scholar
A General Theory of IR Evaluation Measures,2019,30.0,"IEEE Transactions on Knowledge and Data Engineering (TKDE) 31 (3), 409-422, 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:z6xuaG2dYH0C,Scholar
CLAIRE: A combinatorial visual analytics system for information retrieval evaluation,2018,24.0,"Information Processing & Management (IPM) 54 (6), 1077-1100, 2018",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:mel-f30kHHgC,Scholar
Introduction to the special issue on reproducibility in information retrieval: tools and infrastructures,2018,13.0,"Journal of Data and Information Quality (JDIQ) 10 (4), 1-4, 2018",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:G1UMdFYMoxkC,Scholar
Continuation Methods and Curriculum Learning for Learning to Rank,2018,13.0,"Proc. 27th ACM International Conference on Information and Knowledge …, 2018",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:hQUaER0FWQ4C,Scholar
"Introduction to the special issue on reproducibility in information retrieval: evaluation campaigns, collections, and analyses",2018,10.0,"Journal of Data and Information Quality (JDIQ) 10 (3), 1-4, 2018",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:hvmnpdAuIbkC,Scholar
Instance-based Learning for ICD10 Categorization.,2018,11.0,"CLEF (Working Notes), 2018",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:sbeIDTyQOFgC,Scholar
"Experimental ir meets multilinguality, multimodality, and interaction",2018,15.0,"Proceedings of the Ninth International Conference of the CLEF Association …, 2018",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:SxCCDk4iOpsC,Scholar
Research Frontiers in Information Retrieval Report from the Third Strategic Workshop on Information Retrieval in Lorne (SWIRL 2018),2018,235.0,"SIGIR Forum 52 (1), 34-90, 2018",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:H_jBuBxbQIAC,Scholar
Modelling Randomness in Relevance Judgments and Evaluation Measures,2018,5.0,"Proc. 40th European Conference on IR Research (ECIR 2018), 197-209, 2018",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:X9ykpCP0fEIC,Scholar
Check for,2018,,"Advances in Information Retrieval: 40th European Conference on IR Research …, 2018",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:TiIbgCYny7sC,Scholar
Report on LEARNER 2017: 1st International Workshop on LEARning Next gEneration Rankers,2018,,"ACM SIGIR Forum 51 (3), 145-151, 2018",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:YlPif8NxrbYC,Scholar
Report from Dagstuhl Perspectives Workshop 17442-Towards Performance Modeling and Performance Prediction across IR/RecSys/NLP,2018,,"DAGSTUHL REPORTS 10 (7), 139-146, 2018",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:mVC4hKzE2FoC,Scholar
