title,year,citations_scholar,venue,link,source
QPP++ 2025: Query Performance Prediction and its Applications in the Era of Large Language Models,2025,5.0,"European Conference on Information Retrieval, 319-325, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:oXKBmVzQOggC,Scholar
BioASQ at CLEF2025: The Thirteenth Edition of the Large-Scale Biomedical Semantic Indexing and Question Answering Challenge,2025,12.0,"European Conference on Information Retrieval, 407-415, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:dhpJJ7xvgBgC,Scholar
Conversational Information Retrieval and Recommender Systems,2025,1.0,"European Conference on Information Retrieval, 280-290, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:RgznTc0nqo4C,Scholar
Measuring Actual Privacy of Obfuscated Queries in Information Retrieval,2025,3.0,"European Conference on Information Retrieval, 49-66, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:F9HO9s0W2bwC,Scholar
QuantumCLEF 2025-The Second Edition of the Quantum Computing Lab at CLEF,2025,6.0,"European Conference on Information Retrieval, 450-458, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:yKzB5RS27GgC,Scholar
A Reproducibility Study for Joint Information Retrieval and Recommendation in Product Search,2025,2.0,"European Conference on Information Retrieval, 130-145, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:mJbmKSuM8toC,Scholar
Reproducibility and Artifact Consistency of the SIGIR 2022 Recommender Systems Papers Based on Message Passing,2025,3.0,"arXiv preprint arXiv:2503.07823, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:SPgmg5JLkoEC,Scholar
"Report on the 15th Conference and Labs of the Evaluation Forum (CLEF 2024): Experimental IR Meets Multilinguality, Multimodality, and Interaction",2025,,"ACM SIGIR Forum 58 (2), 1-17, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:9tXw7Op4-u0C,Scholar
SEUPD@ CLEF: Team BASETTE at LongEval: IR System for Basic Hardware,2025,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:UKB2i6g6GNMC,Scholar
SEUPD2425-RACOON at LongEval: A Novel Approach To Information Retrieval With LLM-Based Query Expansion And Temporal Relevance Feedback Techniques,2025,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:f2PrUAIjnKUC,Scholar
Team 3DS2A at LongEval: Performance Evaluation over Time of IR Systems with Proximity Search and Reranking Components,2025,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:MqTxh1vmwXEC,Scholar
SEUPD@ CLEF Team RISE at LongEval: Improving Search by Crafting Titles and Matching URLs,2025,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:10A3hb2jUxYC,Scholar
SARD at LongEval: Longitudinal Evaluation of IR Systems by Using Query Rewriting and Hybrid Queries,2025,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:_AkkBXT-jcoC,Scholar
Overview of GutBrainIE@ CLEF 2025: gut-brain interplay information extraction,2025,18.0,"CLEF, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:uQVPmWFBlwUC,Scholar
Team RAND at LongEval: Composable Information Retrieval with Semantic and Language-Aware Components,2025,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:JqN3CTdJtl0C,Scholar
DataHunter at LongEval: Temporal Stability Analysis of Boolean and CamemBERT-Based Retrieval Systems,2025,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:cx97FdCJQX8C,Scholar
