year,title,scimago_quartile,citations_scopus,citations_scholar
2022,Integrated Optical Frequency Comb For 5G Nr Xhauls,Q1,19,24
2022,Photonic-Aware Neural Networks,Q1,35,38
2022,Fpga-Accelerated Smartnic For Supporting 5G Virtualized Radio Access Network,Q1,13,20
2022,A Codesigned Integrated Photonic Electronic Neuron,Q2,22,27
2022,Low-Phase-Noise Tenfold Frequency Multiplication Based On Integrated Optical Frequency Combs,Q2,5,7
2022,Optical Networks Management And Control: A Review And Recent Challenges,Q2,40,51
2023,Swarm Of Lightsail Nanosatellites For Solar System Exploration,Q1,4,6
2023,Analysis Of Integration Technologies For High-Speed Analog Neuromorphic Photonics,Q1,12,14
2023,Charles: A C++ Fixed-Point Library For Photonic-Aware Neural Networks,Q1,3,3
2023,Real-Time Clustering Based On Deep Embeddings For Threat Detection In 6G Networks,Q1,18,19
2023,Fading-Free 5G New Radio Mm-Waves Generation Using Photonic Integrated Frequency Combs,Q1,2,2
2023,Integrating Qkd And Classical Optical Networks: An Sdn Control Approach,-,0,4
2024,Silicon Integrated Photonic-Electronic Neuron For Noise-Resilient Deep Learning,Q1,4,4
2024,Real-Time Network Packet Classification Exploiting Computer Vision Architectures,Q1,13,17
2024,Introduction To The Globecom 2023 Optical Networks And Systems Symposium Special Issue,Q2,0,0
2024,Fpga-Based Acceleration Of Qc-Ldpc Syndrome Encoding For Qkd Systems,Q4,0,0
2025,Addressing Optical Modulator Non-Linearities For Photonic Neural Networks,Q1,2,4
2025,Generalized Quantum-Assisted Digital Signature Service In An Sdn-Controlled Quantum-Integrated Optical Network,Q2,2,4
2025,Thin-Film Lithium Niobate At 1064 Nm For Telecommunications And Sensing,Q4,0,0
2025,Device-Informed Training Strategy For Low-Precision Photonic Neural Networks,Q4,0,0
2025,Mitigating Noise Effects In Photonic Neural Networks Using Adaptive Quantization,Q4,0,0
2025,Assessing The Robustness Of In-Switch Neural Networks Against Adversarial Ddos Attacks,Q4,0,0
2025,Differentiable Neural Architecture Search For Photonic-Aware Neural Networks,Q4,0,0
2025,Design Of An Efficient Thin Film Lithium Niobate Modulator At 1064 Nm,Q4,0,0
