Metric,Value
Totale pubblicazioni,269
Totale citazioni Scopus,1893
Totale citazioni Scholar,2636
Percentuale Q1,19.0%
Percentuale A,0.0%
Percentuale A*,0.0%
Numero Journal,88
Numero Conference,177
Numero Other Works,4
Anni di non pubblicazione,Nessuno
