Metric,Value
Totale pubblicazioni,164
Totale citazioni Scopus,3404
Totale citazioni Scholar,5331
Percentuale Q1,31.7%
Percentuale A,5.5%
Percentuale A*,0.6%
Numero Journal,69
Numero Conference,80
Numero Other Works,15
Anni di non pubblicazione,1999
