Metric,Value
Totale pubblicazioni,17
Totale citazioni Scopus,46
Totale citazioni Scholar,82
Percentuale Q1,11.8%
Percentuale A,0.0%
Percentuale A*,0.0%
Numero Journal,4
Numero Conference,3
Numero Other Works,10
Anni di non pubblicazione,Nessuno
