Metric,Value
Totale pubblicazioni,104
Totale citazioni Scopus,1510
Totale citazioni Scholar,2155
Percentuale Q1,24.0%
Percentuale A,2.9%
Percentuale A*,1.0%
Numero Journal,46
Numero Conference,41
Numero Other Works,17
Anni di non pubblicazione,"2005, 2014, 2017"
